Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,ZH_Oct15_1,atpe,VIC,Unknown,27.127064689118654,20.44741727331132
A2,false,ZH_Oct15_2,atpe,VIC,Unknown,24.605247453491543,62.39055262553142
A3,false,ZH_Oct15_3,atpe,VIC,Unknown,23.83461709150587,87.73420172003038
A4,false,ZH_Oct15_4,atpe,VIC,Unknown,28.313827366601743,12.096030230730902
A5,false,ZH_Oct15_5,atpe,VIC,Unknown,26.116209541039815,31.977129781748605
A6,false,ZH_Oct15_6,atpe,VIC,Unknown,25.49561539123001,42.078987619446245
A7,false,ZH_Oct15_7,atpe,VIC,Unknown,28.970747191862863,9.045619855645768
A8,false,ZH_Oct15_8,atpe,VIC,Unknown,23.04511564309263,124.40689615644906
A9,false,ZH_Oct15_9,atpe,VIC,Unknown,22.77035648491509,140.48500429539405
A10,false,ZH_Oct15_10,atpe,VIC,Unknown,25.134965225322716,49.357345775985245
A11,false,ZH_Oct15_11,atpe,VIC,Unknown,27.689157009221987,15.946000358967327
A12,false,ZH_Oct15_12,atpe,VIC,Unknown,33.007028971405944,1.5170703851473655
B1,false,ZH_Oct15_1,atpe,VIC,Unknown,26.699853847123798,24.700873815221293
B2,false,ZH_Oct15_2,atpe,VIC,Unknown,24.710212067790657,59.55983624265594
B3,false,ZH_Oct15_3,atpe,VIC,Unknown,23.508618434370653,101.34407168512162
B4,false,ZH_Oct15_4,atpe,VIC,Unknown,28.342780683434796,11.942093864410161
B5,false,ZH_Oct15_5,atpe,VIC,Unknown,25.82539413948703,36.367181845414535
B6,false,ZH_Oct15_6,atpe,VIC,Unknown,25.279879008882986,46.29260305717356
B7,false,ZH_Oct15_7,atpe,VIC,Unknown,28.82918604904372,9.630180628774646
B8,false,ZH_Oct15_8,atpe,VIC,Unknown,22.741176050088207,142.31018563115734
B9,false,ZH_Oct15_9,atpe,VIC,Unknown,22.587316539988585,152.33328012995202
B10,false,ZH_Oct15_10,atpe,VIC,Unknown,25.03850577238709,51.509004990588075
B11,false,ZH_Oct15_11,atpe,VIC,Unknown,27.555268953822257,16.918963383653345
B12,false,ZH_Oct15_12,atpe,VIC,Unknown,32.248751482384066,2.121693508694093
C1,false,ZH_Oct15_1,atpe,VIC,Unknown,26.648170080990617,25.272114096576516
C2,false,ZH_Oct15_2,atpe,VIC,Unknown,24.902752023234335,54.697007991542904
C3,false,ZH_Oct15_3,atpe,VIC,Unknown,23.555766236812595,99.25228675771939
C4,false,ZH_Oct15_4,atpe,VIC,Unknown,28.264340653477817,12.363744793684031
C5,false,ZH_Oct15_5,atpe,VIC,Unknown,25.951649767465106,34.39172625925251
C6,false,ZH_Oct15_6,atpe,VIC,Unknown,25.290083803015868,46.084099131439025
C7,false,ZH_Oct15_7,atpe,VIC,Unknown,29.07879005045595,8.623461253834183
C8,false,ZH_Oct15_8,atpe,VIC,Unknown,22.790124895645498,139.26184655905024
C9,false,ZH_Oct15_9,atpe,VIC,Unknown,22.672872518522425,146.67569593925563
C10,false,ZH_Oct15_10,atpe,VIC,Unknown,25.197644660521036,48.00761172974093
C11,false,ZH_Oct15_11,atpe,VIC,Unknown,27.55246357555839,16.93997274990738
C12,false,ZH_Oct15_12,atpe,VIC,Unknown,31.754585360887177,2.640095623014418
D1,false,ZH_Oct15_13,atpe,VIC,Unknown,26.068677141473394,32.656617081639695
D2,false,ZH_Oct15_14,atpe,VIC,Unknown,24.17306498238399,75.53492757095151
D3,false,ZH_Oct15_15,atpe,VIC,Unknown,27.26706859450899,19.21947537483718
D4,false,ZH_Oct15_16,atpe,VIC,Unknown,27.791889043405504,15.237557081341501
D5,false,ZH_Oct15_17,atpe,VIC,Unknown,24.96965061408597,53.10205265983142
D6,false,ZH_Oct15_18,atpe,VIC,Unknown,27.274718214543633,19.154548415902106
D7,false,ZH_Oct15_19,atpe,VIC,Unknown,26.981814937123918,21.804352762491888
D8,false,ZH_Oct15_20,atpe,VIC,Unknown,24.424418052470315,67.58634752211509
D9,false,ZH_Oct15_21,atpe,VIC,Unknown,26.925235134365572,22.35697602550055
D10,false,ZH_Oct15_22,atpe,VIC,Unknown,30.56593773383227,4.466603290160663
D11,false,Water,atpe,VIC,Negative Control (NTC),Undetermined,
D12,false,Water,atpe,VIC,Negative Control (NTC),Undetermined,
E1,false,ZH_Oct15_13,atpe,VIC,Unknown,26.047404781900575,32.96536931308695
E2,false,ZH_Oct15_14,atpe,VIC,Unknown,24.204903676971732,74.47853199770337
E3,false,ZH_Oct15_15,atpe,VIC,Unknown,27.304745475163834,18.901802155195547
E4,false,ZH_Oct15_16,atpe,VIC,Unknown,27.988792459743394,13.966485414074592
E5,false,ZH_Oct15_17,atpe,VIC,Unknown,24.830331451668606,56.477659441361105
E6,false,ZH_Oct15_18,atpe,VIC,Unknown,27.20682139400894,19.738582193420346
E7,false,ZH_Oct15_19,atpe,VIC,Unknown,26.945731032195347,22.15519005260255
E8,false,ZH_Oct15_20,atpe,VIC,Unknown,24.494012229196528,65.53734622212029
E9,false,ZH_Oct15_21,atpe,VIC,Unknown,26.914590847874436,22.46249504610922
E10,false,ZH_Oct15_22,atpe,VIC,Unknown,30.532072882236555,4.534019117640342
E11,false,Water,atpe,VIC,Negative Control (NTC),Undetermined,
E12,false,Water,atpe,VIC,Negative Control (NTC),Undetermined,
F1,false,ZH_Oct15_13,atpe,VIC,Unknown,26.104697537620353,32.14038795921178
F2,false,ZH_Oct15_14,atpe,VIC,Unknown,24.16452914074685,75.82068177330208
F3,false,ZH_Oct15_15,atpe,VIC,Unknown,27.29692201241165,18.96733095612745
F4,false,ZH_Oct15_16,atpe,VIC,Unknown,27.65594394145692,16.18201193698314
F5,false,ZH_Oct15_17,atpe,VIC,Unknown,24.86374703608294,55.64895790179481
F6,false,ZH_Oct15_18,atpe,VIC,Unknown,27.101249068032935,20.682262348218494
F7,false,ZH_Oct15_19,atpe,VIC,Unknown,26.748144749937524,24.178807767789955
F8,false,ZH_Oct15_20,atpe,VIC,Unknown,24.264977741956855,72.52536852881825
F9,false,ZH_Oct15_21,atpe,VIC,Unknown,26.99346150049466,21.69230556499089
F10,false,ZH_Oct15_22,atpe,VIC,Unknown,30.735618316894595,4.143612155477437
F11,false,,atpe,VIC,Unknown,Undetermined,
F12,false,,atpe,VIC,Unknown,Undetermined,
G1,false,DNASD_4,atpe,VIC,Standard,19.865595878410396,556
G2,false,DNASD_4,atpe,VIC,Standard,19.658822089346913,556
G3,false,DNASD_4,atpe,VIC,Standard,19.934755350327485,556
G4,false,DNASD_13,atpe,VIC,Standard,33.987850210002776,1.24375
G5,false,DNASD_13,atpe,VIC,Standard,33.46250979213927,1.24375
G6,false,DNASD_13,atpe,VIC,Standard,33.918585432994405,1.24375
G7,false,DNASD_6,atpe,VIC,Standard,22.99646030425994,123.8
G8,false,DNASD_6,atpe,VIC,Standard,22.599619930458168,123.8
G9,false,DNASD_6,atpe,VIC,Standard,22.297065180295114,123.8
G10,false,,atpe,VIC,Unknown,Undetermined,
G11,false,,atpe,VIC,Unknown,Undetermined,
G12,false,,atpe,VIC,Unknown,Undetermined,
H1,false,DNASD_9,atpe,VIC,Standard,26.86445679713757,19.9
H2,false,DNASD_9,atpe,VIC,Standard,27.05105115806594,19.9
H3,false,DNASD_9,atpe,VIC,Standard,27.032499874109284,19.9
H4,false,DNASD_15,atpe,VIC,Standard,35.930946844056606,0.3109375
H5,false,DNASD_15,atpe,VIC,Standard,35.82731930599559,0.3109375
H6,false,DNASD_15,atpe,VIC,Standard,35.90712316877365,0.3109375
H7,false,DNASD_12,atpe,VIC,Standard,32.621434415194855,2.4875
H8,false,DNASD_12,atpe,VIC,Standard,32.598591843589375,2.4875
H9,false,DNASD_12,atpe,VIC,Standard,32.96607840127858,2.4875
H10,false,,atpe,VIC,Unknown,Undetermined,
H11,false,,atpe,VIC,Unknown,Undetermined,
H12,false,,atpe,VIC,Unknown,Undetermined,